MSISDN;SIM_TYPE;NAME;DATE_OF_BIRTH;GENDER;ADDRESS;ID_NUMBER
6600001001;PREPAID;CheckTT;20230822;M;UNITEDARABCOUNTRYcheckpostalcode567678;ab10000
6600001002;OTHERS;CheckKK;20220822;F;ABUDHABIDUBAICHECKPOSTALCODE233066;NR500000
6600001003;POSTPAID;CheckTT;19780822;M;UNITEDARABCOUNTRYCHECKPOSTALCODE4567890;NR500000
6600001004;PREPAID;CheckKK;19780822;M;INDAITAMILNADUCHECKCHENNAIITPARK;NR500000
6600001005;PREPAID;CheckTT;19780822;M;UNITEDARABCOUNTRYCHECKPOSTALCODE4567890;NR500000
6600001006;POSTPAID;CheckKK;19780822;;UNITEDSTATESCALIFORNOIACHECK100052;NR500000
6600001007;POSTPAID;ItemI;19780822;M;INDAITAMILNADUCHECKCHENNAIITPARK;NR500000
6600001008;PREPAID;ItemI;19780822;M;INDAITAMILNADUCHECKCHENNAIITPARK;NR500000
6600001009;POSTPAID;TesUt;19780822;M;UNITEDSTATESCALIFORNOIACHECK100052;ab10000
6600001010;POSTPAID;CheckTT;19780822;M;ABUDHABIDUBAICHECKPOSTALCODE233066;NR500000
6600001011;POSTPAID;TesUt;19780822;;UNITEDARABCOUNTRYCHECKPOSTALCODE4567890;NR500000
6600001012;PREPAID;ItemI;19780822;M;UNITEDARABCOUNTRYCHECKPOSTALCODE4567890;NR500000
6600001013;OTHERS;CheckKK;19780822;M;INDAITAMILNADUCHECKCHENNAIITPARK;NR500000
6600001014;PREPAID;CheckKK;19780822;F;UNITEDSTATESCALIFORNOIACHECK100052;NR500000
6600001015;PREPAID;CheckTT;20020712;F;UNITEDSTATESCALIFORNOIACHECK100052;ab10000
6600001016;POSTPAID;ItemJ;20020712;F;UNITEDARABCOUNTRYCHECKPOSTALCODE4567890;ab10000
6600001017;POSTPAID;ItemJ;20020712;M;UNITEDARABCOUNTRYCHECKPOSTALCODE4567890;NR500000
6600001018;POSTPAID;ItemI;20020712;M;ABUDHABIDUBAICHECKPOSTALCODE233066;NR500000
6600001019;OTHERS;TesUt;20020712;F;UNITEDSTATESCALIFORNOIACHECK100052;NR500000
6600001020;POSTPAID;TesUt;20020712;;UNITEDARABCOUNTRYCHECKPOSTALCODE4567890;NR500000
6600001021;POSTPAID;TesUt;20020712;F;INDAITAMILNADUCHECKCHENNAIITPARK;NR500000
6600001022;OTHERS;TesDDt;20230822;F;ABUDHABIDUBAICHECKPOSTALCODE233066;NR500000
6600001023;PREPAID;ItemI;20020712;M;UNITEDSTATESCALIFORNOIACHECK100052;NR500000
6600001024;POSTPAID;ItemJ;20020712;F;INDAITAMILNADUCHECKCHENNAIITPARK;ab10000
6600001025;OTHERS;ItemI;20020712;F;INDAITAMILNADUCHECKCHENNAIITPARK;NR500000
6600001026;POSTPAID;TesUt;20080202;M;UNITEDSTATESCALIFORNOIACHECK100052;NR500000
6600001027;PREPAID;;20080202;M;UNITEDARABCOUNTRYCHECKPOSTALCODE4567890;NR500000
6600001028;POSTPAID;TesUt;20080202;F;UNITEDSTATESCALIFORNOIACHECK100052;ab10000
6600001029;OTHERS;ItemI;20230822;;UNITEDSTATESCALIFORNOIACHECK100052;NR500000
6600001030;PREPAID;CheckKK;20080202;M;ABUDHABIDUBAICHECKPOSTALCODE233066;NR500000
